donnee;unite;campagnes;type;libelle;definition
UTA2;UTA3;2008 - 2013;Qualitatif;Utilisation du sol en phase 2;Caracteristique decrivant l'objectif principal de gestion du site en phase 2
UTA2;UTA9;2014 - 2014;Qualitatif;Utilisation du sol en phase 2;Caracteristique decrivant l'objectif principal de gestion du site en phase 2
UTIP;UTIP;2005 - ;Qualitatif;Utilisation principale;Utilisation principale
V;M3;2005 - ;Quantitatif;m3;METRE CUBE
VEGET;DOM8;2005 - 2006;Qualitatif;Etat de végétation d'arbre;Caractéristique nominale d'un arbre
VEGET;DOM8M0;2007 - 2007;Qualitatif;Etat de végétation d'arbre;RATTACHEMENT DE L'ARBRE A UNE CATEGORIE SELON SON APPARTENANCE OU NON AU PEUPLEMENT EN CROISSANCE
VEGET;DOM8M1;2008 - 2018;Qualitatif;Etat de végétation d'arbre;RATTACHEMENT DE L'ARBRE A UNE CATEGORIE SELON SON APPARTENANCE OU NON AU PEUPLEMENT EN CROISSANCE
VEGET;DOM8M2;2019 - ;Qualitatif;Etat de végétation d'arbre;Indicateur caractérisant globalement l'état de l’arbre par rapport au peuplement en croissance.
VEGET5;VEGET5;2010 - 2014;Qualitatif;Etat de végétation de l'arbre 5 ans après;ETAT DE VEGETATION DE L'ARBRE LORS DU RETOUR SUR POINT, 5 ANS APRES
VEGET5;VEGET56;2015 - 2016;Qualitatif;Etat de végétation de l'arbre 5 ans après;ETAT DE VEGETATION DE L'ARBRE LORS DU RETOUR SUR POINT, 5 ANS APRES
VEGET5;VEGET57;2017 - 2018;Qualitatif;Etat de végétation de l'arbre 5 ans après;ETAT DE VEGETATION DE L'ARBRE LORS DU RETOUR SUR POINT, 5 ANS APRES
VEGET5;VEGET59;2019 - ;Qualitatif;Etat de végétation de l'arbre 5 ans après;ETAT DE VEGETATION DE L'ARBRE LORS DU RETOUR SUR POINT, 5 ANS APRES
VIDEPEUPLIER;1;2005 - ;Quantitatif;1;Unite
VIDEPLANT;1/10PCT;2006 - 2013;Qualitatif;1/10 (en %);Dixième (en pourcentage)
VIDEPLANT;1/10PCT_X;2018 - ;Qualitatif;1/10 (en %);Dixième (en pourcentage) avec prise en compte de l'absence
VISITE;VISITE;2005 - ;Qualitatif;Numéro de visite;Indique si le point est issu de la première ou de la deuxième visite sur le terrain.
W;1;2005 - ;Quantitatif;1;Unite
