donnee;libelle;definition;lib_en;def_en
SFPIED;Présence de blessure ou pourriture de pied;Indicateur d'absence ou de présence de blessure ou pourriture de pied;stump damage or rot;presence or absence of damage or rot on the tree stump
SIMPLIF;Indicateur de simplification;Indique si l'arbre a fait l'objet de mesures allégées du fait de l’application de règles de simplification.;simplification index;indicates if simplification rules were applied to the tree
STRATE;Identifiant de strate;Identifiant de strate;Forest stratum identification;Forest stratum identification
SVER;Structure verticale;Caractérisation de la structure verticale du peuplement cible, si couverture boisée fermée, sur la placette de 25 m de rayon (2000 m²).;vertical structure;characterisation of the vertical structure of the target stand in the case of closed forest cover, in the 25m radius (2000 m2) inventory plot
TCA;Taux de couvert absolu de l'espèce;Rapport de la surface projetée des houppiers de l'espèce à la surface totale du site;absolute cover rate of the species;ratio of the projected canopy area of the species to the total plot area
TCAT10;Taux de couvert total des arbres;Taux de couvert absolu en dixièmes sur la placette 25m de rayon (2000 m²), formé par tous les arbres, recensables ou non recensables.;total canopy cover rate of trees;rate of absolute cover, in 1/10th, on the 25m-radius plot (2000m2), composed of all trees (either below or above the 7.5cm dbh thresold)
TCL;Taux de couvert libre de l'espèce;Rapport de la surface projetée de la partie des houppiers de l'espèce accédant à la lumière à la surface totale du site;canopy cover rate;ratio of the projected area of the portion of the canopy of the species accessing light to the total plot area.
TETARD;Arbre têtard;Indicateur binaire qui permet de signaler si l’arbre est traité en têtard ou non.;pollard tree;binary variable indicating of the tree is classified as a pollard tree
TEXT1;Texture de l'horizon supérieur;Texture de l'horizon supérieur du sol à deux textures différenciées.;top layer texture;texture of the upper soil horizon with two differenciated textures
TEXT2;Texture de l'horizon inférieur;Texture de l'horizon inférieur du sol à deux textures differenciées ou de l'horizon unique du sol à une texture.;bottom layer texture;texture of the lower soil horizon with two differenciated textures
TFORM;Taille de formation;Indicateur de taille de formation autour du seuil de référence de 50 ares.;size of the wooded area;indication of the size of the wooded area around the 50 ares reference threshold
TIGE;Forme de la tige;La forme de la tige caractérise la présence de jumelle, fourche ou cassure.;stem shape;stem shape, characterizing the presence of twin stems, forks or broken stems
TM2;Taille de formation inventoriée de phase 2;Appréciation de la nature de formation inventoriée;size of the 2nd phase inventoried stand;assessment of the nature of the inventoried stand
TOPO;Situation topographique;Position topographique la plus représentative sur la placette de 25 m de rayon (2000 m²);topographic situation;topographic position of the 15m-radius (700 m2) plot
TPESPAR1;Espèce plantée principale;Espèce plantée dans une plantation monospécifique, ou espèce majoritaire plantée dans une plantation mélangée.;main planted species;tree species planted in a monospecific planted stand or main species in a mixed plantation
TPESPAR2;Espèce plantée secondaire;Espèce secondaire plantée dans une plantation mélangée.;secondary planted species;secondary planted tree species in a mixed plantation
TPLANT;Type de plantation;Absence de plantation ou type de plantation.;planting type;absence of plantation or type of plantation
TSOL;Type de sol;Type de sol selon la classification de Duchaufour.;soil type;soil type, according to the Duchaufour classification
TYPCAI;Nature des éléments grossiers;Nature lithologique des éléments grossiers, si cette nature est différente du type de roche-mère.;nature of the coarse elements;lithologic nature of the coarse elements, if different from parent material type
TYPRIV;Type d’unité hydrographique;Type d’unité hydrographique présente à moins de 50 m du piquet repère.;hydrographic unit type;hydrographic unit type located within a 50m radius from the marker stake
UTA1;Première utilisation du sol;Caractéristique décrivant l'objectif principal de gestion du site (placette de deuxième phase d'inventaire);land use;characteristic describing the primary management objective of the site (2nd phase inventory plot)
UTA2;Deuxième utilisation du sol;Caractéristique facultative décrivant l'objectif secondaire de gestion du site (placette de deuxième phase d'inventaire);second land use;optional characteristic describing the secondary management objective of the site (2nd phase inventory plot)
UTIP;Utilisation prédominante;Utilisation prédominante du sol, pour une même couverture du sol.;main land use;main land use, for a same land cover
V;Volume (en m3);Pour les arbres vifs, morts sur pied et chablis, il s'agit du volume du tronc des arbres de plus de 7,5 cm de diamètre à 1,30 m, du sol jusqu'à une découpe de 7 cm, incluant l'écorce et une branche maîtresse. Pour le bois mort au sol, à partir de 2,5 cm.;Volume (m3);For living, dead and windthrown trees, corresponds to the stem volume of trees > 7.5cm DBH, measured from the ground to a stem diameter of 7cm, and including bark and main branches. For lying deadwood, it is measured for wood pieces > 2.5cm diameter.
VEGET;État de végétation de l'arbre (1e visite);Indicateur caractérisant l’état de végétation de l’arbre (vivant, mort, chablis, etc.);vegetation status;information on the status (alive, standing dead tree withoud damage, standing dead tree with broken stem, windthrow) of the tree during the initial measurement.
VEGET5;État de végétation de l’arbre (2e visite);Indicateur caractérisant l’état de végétation de l’arbre revu (vivant, mort, cassé, chablis, coupé, etc.);vegetation status of the tree (remeasurement period);indication of the vegetation status of the remeasured tree (alive, dead, broken, windthrow, cut ...)
VIDEPEUPLIER;Peupliers manquants;Nombre de peupliers manquants;missing poplar trees;number of missing poplar trees
VIDEPLANT;Vides de plantation;Estimation en dixièmes des vides dans une plantation dans laquelle les lignes de plantation sont encore visibles.;empty areas in a plantation;estimation in 1/10 of the empty areas in a plantation where planting lines are still identifiables
VISITE;Indicateur de point visite;Indicateur de point visite (par pi ou terrain);Campaign number;Number specifying if the record is from the initial inventory campaign (VISITE = 1) or from the remeasurement campaign (VISITE = 2)
W;Coefficient de pondération d'arbre;Rapport de la surface d'extension de deuxième phase du point à la surface de la placette de mesure de l'arbre;tree weighting factor;ratio between the area of the subplot of the measured tree and the area of the sample plot
